Location_ID,Latitude,Longitude,Traffic_Density,Pedestrian_Count,Vehicle_Count,Public_Transport,Average_Speed,Commercial_Score,Residential_Score,Green_Space,Morning_Activity,Afternoon_Activity,Evening_Activity,Night_Activity,True_Zone,Cluster
74,17.58363,78.33701,41,344,314,38,23,43,65,40,66,44,59,20,Mixed,2
75,17.426053,78.47866,33,206,239,22,37,27,80,54,79,82,51,53,Residential,3
76,17.564274,78.249124,47,376,305,36,28,61,58,58,53,79,80,31,Mixed,2
77,17.4977,78.282232,60,359,381,20,41,62,58,37,54,60,86,18,Mixed,2
78,17.380887,78.289842,90,753,690,49,30,85,11,11,57,66,73,36,Commercial,0
79,17.288039,78.285072,33,481,74,11,34,25,50,80,88,68,82,31,Recreational,1
80,17.358927,78.370716,76,936,483,38,36,99,17,5,46,40,71,22,Commercial,0
81,17.485624,78.411059,89,81,657,22,41,32,25,12,58,57,40,23,Industrial,4
82,17.4576,78.363494,31,413,112,8,15,27,36,82,71,49,49,28,Recreational,1
83,17.488325,78.522126,32,307,114,13,17,27,44,84,42,72,67,56,Recreational,1
84,17.539251,78.249111,75,117,664,15,38,35,27,11,49,46,72,32,Industrial,4
85,17.345224,78.213691,63,78,687,11,26,20,24,9,59,50,81,11,Industrial,4
86,17.394972,78.557821,19,592,186,6,26,22,49,91,63,56,49,39,Recreational,1
87,17.458022,78.368682,87,714,608,43,28,87,11,17,64,78,48,63,Commercial,0
88,17.399236,78.22687,45,128,208,11,52,14,90,45,57,60,81,45,Residential,3
89,17.300292,78.453239,64,325,286,29,41,60,66,54,70,45,66,49,Mixed,2
90,17.2273,78.534832,46,422,389,33,21,67,61,40,40,75,90,35,Mixed,2
91,17.307964,78.415937,63,108,794,17,27,21,24,12,61,44,95,42,Industrial,4
92,17.365117,78.48197,62,130,864,20,26,28,11,9,48,48,79,26,Industrial,4
93,17.34439,78.236633,44,138,134,12,47,14,91,51,69,77,73,21,Residential,3
94,17.45558,78.503614,76,110,516,19,41,34,21,18,55,63,58,17,Industrial,4
95,17.215771,78.48223,61,447,399,37,44,51,54,56,65,80,84,35,Mixed,2
96,17.246113,78.368705,92,881,485,55,26,93,24,9,46,48,90,57,Commercial,0
97,17.478516,78.33595,57,472,302,36,33,70,63,32,83,84,73,12,Mixed,2
98,17.293184,78.20976,21,314,169,5,18,32,47,80,55,84,81,53,Recreational,1
99,17.391913,78.432303,21,257,112,22,47,12,86,53,68,88,68,62,Residential,3
100,17.541129,78.486221,29,565,152,8,19,20,46,82,84,53,95,39,Recreational,1
101,17.435422,78.592932,64,442,272,34,36,64,63,33,51,76,76,52,Mixed,2
102,17.443095,78.405075,89,126,725,18,31,39,13,15,47,59,68,63,Industrial,4
103,17.597963,78.269558,30,156,102,15,34,14,94,62,88,48,74,29,Residential,3
104,17.557969,78.544051,22,277,181,26,53,12,82,45,52,86,64,18,Residential,3
105,17.572636,78.494085,68,105,822,20,33,22,11,16,81,48,54,49,Industrial,4
106,17.230452,78.540483,43,223,137,17,34,25,97,45,76,87,52,37,Residential,3
107,17.551452,78.51897,69,364,385,22,43,47,41,37,66,52,84,42,Mixed,2
108,17.275689,78.552655,15,358,108,13,27,30,42,100,81,75,66,47,Recreational,1
109,17.422473,78.502654,65,498,230,29,29,50,60,59,78,70,57,45,Mixed,2
110,17.527472,78.251379,21,523,62,18,31,28,46,87,70,73,99,33,Recreational,1
111,17.508342,78.578919,89,120,573,18,26,34,14,17,61,43,59,41,Industrial,4
112,17.459029,78.437758,81,1000,793,51,20,97,27,18,86,68,51,45,Commercial,0
113,17.309451,78.59885,21,328,188,5,20,34,44,98,50,62,65,43,Recreational,1
114,17.309304,78.580345,72,996,438,44,30,99,11,19,53,59,61,20,Commercial,0
115,17.460667,78.347411,35,383,55,7,19,22,30,85,54,73,74,58,Recreational,1
116,17.50441,78.450488,30,326,121,16,28,36,50,87,54,66,85,59,Recreational,1
117,17.250074,78.474226,35,323,109,14,17,39,43,94,64,69,53,16,Recreational,1
118,17.472183,78.358218,23,465,112,10,16,27,40,92,56,47,60,27,Recreational,1
119,17.241117,78.428362,72,138,788,21,30,28,17,15,61,63,80,26,Industrial,4
120,17.343121,78.328838,34,460,146,6,15,20,38,92,69,72,52,61,Recreational,1
121,17.437911,78.446642,33,221,242,11,39,21,96,47,50,42,98,15,Residential,3
122,17.419037,78.526919,87,803,663,37,37,99,24,15,46,50,59,25,Commercial,0
123,17.391712,78.446297,50,102,226,18,39,23,90,57,51,62,51,22,Residential,3
124,17.598534,78.589917,82,149,672,17,43,31,27,10,57,58,61,46,Industrial,4
125,17.366363,78.538498,87,123,742,12,39,20,16,16,88,69,60,40,Industrial,4
126,17.560281,78.368688,43,469,219,37,36,58,48,33,73,75,41,24,Mixed,2
127,17.5104,78.362124,38,214,224,21,32,22,97,47,60,54,72,44,Residential,3
128,17.362008,78.437167,31,113,177,11,52,14,84,45,84,80,93,69,Residential,3
129,17.252349,78.587928,89,729,630,35,36,81,12,9,44,40,79,21,Commercial,0
130,17.299486,78.446858,69,116,617,23,40,29,19,16,69,80,40,14,Industrial,4
131,17.482154,78.378547,94,663,773,49,30,84,24,9,51,76,88,58,Commercial,0
132,17.216629,78.259337,34,429,86,8,15,22,35,84,44,72,88,60,Recreational,1
133,17.408692,78.337061,57,465,450,30,21,64,57,58,78,70,95,56,Mixed,2
134,17.547257,78.27086,27,533,173,11,22,37,50,80,47,68,71,47,Recreational,1
135,17.507408,78.245244,20,154,218,20,39,27,97,56,65,47,86,49,Residential,3
136,17.263715,78.441982,83,888,400,48,35,93,30,20,44,80,65,37,Commercial,0
137,17.460205,78.506076,70,768,488,45,32,88,30,17,70,80,50,13,Commercial,0
138,17.202303,78.329834,20,318,131,17,23,38,42,90,40,63,93,16,Recreational,1
139,17.441379,78.467285,21,442,198,7,15,36,46,82,83,77,65,20,Recreational,1
140,17.336499,78.352078,21,273,108,12,50,17,95,41,45,67,92,38,Residential,3
141,17.582209,78.207293,35,136,143,13,44,20,95,62,45,85,89,53,Residential,3
142,17.340649,78.240568,82,129,802,14,39,23,20,7,54,43,60,22,Industrial,4
143,17.30905,78.36542,43,301,226,34,22,47,55,39,75,69,57,11,Mixed,2
144,17.567101,78.369811,99,862,750,41,29,86,22,19,46,88,81,51,Commercial,0
145,17.458642,78.269909,81,975,572,39,34,92,30,10,67,48,65,18,Commercial,0
146,17.369495,78.46702,98,769,471,53,35,96,14,8,89,63,58,45,Commercial,0
147,17.209455,78.456789,38,263,168,24,46,12,91,41,72,60,56,31,Residential,3
148,17.361728,78.37128,21,459,60,14,23,33,42,81,74,46,60,27,Recreational,1
149,17.305958,78.458116,86,879,587,43,38,83,15,14,71,78,84,55,Commercial,0
150,17.467841,78.227973,17,372,185,5,20,28,36,83,52,88,99,11,Recreational,1
151,17.597656,78.464736,47,479,399,37,22,61,51,58,42,61,45,11,Mixed,2
152,17.280373,78.414331,72,953,685,49,27,91,13,9,52,68,70,56,Commercial,0
153,17.247932,78.589666,92,999,411,46,35,91,17,8,42,55,69,54,Commercial,0
154,17.530427,78.512811,59,497,320,39,25,61,57,37,78,71,72,62,Mixed,2
155,17.295622,78.40389,48,241,135,10,52,27,92,41,80,60,41,36,Residential,3
156,17.54057,78.283404,79,111,653,13,42,25,12,10,82,54,61,69,Industrial,4
157,17.527494,78.329011,79,765,481,42,22,89,23,10,42,55,46,61,Commercial,0
158,17.391742,78.325491,61,140,629,12,42,33,29,6,49,64,41,34,Industrial,4
159,17.248705,78.391294,83,935,709,43,39,82,12,13,45,64,52,62,Commercial,0
160,17.207075,78.441021,29,367,61,16,27,33,49,97,68,45,71,38,Recreational,1
161,17.295672,78.2569,90,54,765,18,26,30,27,17,70,54,48,32,Industrial,4
162,17.293058,78.288321,97,789,770,36,35,95,10,8,43,78,79,26,Commercial,0
163,17.392654,78.270755,59,373,430,37,24,59,70,59,74,46,66,37,Mixed,2
164,17.275878,78.447579,61,382,382,21,40,61,45,44,60,49,62,67,Mixed,2
165,17.381751,78.537743,60,491,412,37,24,52,43,46,74,88,99,20,Mixed,2
166,17.543826,78.356957,65,445,233,39,35,67,57,37,74,80,68,61,Mixed,2
167,17.536349,78.215371,32,212,204,26,53,18,88,40,41,87,68,42,Residential,3
168,17.407363,78.260068,22,576,77,15,16,27,37,96,54,56,99,32,Recreational,1
169,17.214228,78.403432,15,386,150,12,27,27,40,80,84,63,74,33,Recreational,1
170,17.419846,78.532214,50,209,238,29,44,28,86,58,67,82,97,14,Residential,3
171,17.302165,78.304285,25,210,211,26,37,17,88,41,54,89,42,58,Residential,3
172,17.440753,78.432969,78,816,777,52,37,89,30,8,51,66,79,11,Commercial,0
173,17.375762,78.445176,16,310,59,19,31,27,47,88,64,79,98,23,Recreational,1
174,17.538606,78.567571,34,512,81,7,28,36,50,82,71,69,94,48,Recreational,1
175,17.328024,78.501275,40,240,248,17,43,17,93,46,62,83,71,20,Residential,3
176,17.402341,78.536281,91,947,684,42,37,81,30,19,66,89,70,24,Commercial,0
177,17.549329,78.454517,61,420,388,20,43,42,70,51,58,62,68,39,Mixed,2
178,17.277582,78.551927,54,385,385,35,27,40,51,34,42,40,43,49,Mixed,2
179,17.202092,78.504396,30,109,248,23,36,11,88,55,52,48,91,45,Residential,3
180,17.598534,78.347324,31,313,170,6,34,30,45,98,70,45,95,28,Recreational,1
181,17.447836,78.342197,43,269,223,22,24,45,60,51,79,78,60,19,Mixed,2
182,17.424594,78.424264,82,619,672,52,26,83,23,7,63,76,55,67,Commercial,0
183,17.592788,78.283937,49,181,246,28,46,23,98,61,63,84,51,39,Residential,3
184,17.599339,78.573245,33,472,143,11,31,20,47,99,88,67,98,56,Recreational,1
185,17.353533,78.428749,40,447,459,39,35,54,66,44,45,86,53,69,Mixed,2
186,17.571847,78.513033,64,310,337,37,22,52,50,46,69,84,45,26,Mixed,2
187,17.482408,78.452468,69,84,801,19,43,24,14,8,88,60,49,14,Industrial,4
188,17.388824,78.205361,22,228,123,13,35,18,93,67,83,70,59,33,Residential,3
189,17.307256,78.262553,24,519,184,7,28,29,45,95,70,81,64,22,Recreational,1
190,17.559933,78.208729,25,383,131,14,25,40,33,97,72,66,46,15,Recreational,1
191,17.46167,78.279239,79,137,642,16,34,31,23,13,76,60,57,14,Industrial,4
192,17.473502,78.418042,88,970,744,50,31,88,10,6,43,81,96,16,Commercial,0
193,17.538767,78.371452,68,277,242,28,26,61,56,46,73,45,85,15,Mixed,2
194,17.514788,78.244774,41,271,311,21,29,41,55,45,78,61,51,33,Mixed,2
195,17.407754,78.281953,69,148,691,12,41,26,30,8,65,43,85,61,Industrial,4
196,17.237661,78.337465,54,463,315,33,28,47,65,57,65,88,41,34,Mixed,2
197,17.409332,78.314855,15,341,55,11,34,37,40,98,44,50,95,21,Recreational,1
198,17.379041,78.423128,23,463,134,12,23,34,44,95,85,79,57,51,Recreational,1
199,17.213353,78.345477,26,179,230,22,32,27,90,47,77,72,67,10,Residential,3
200,17.586851,78.367104,30,406,150,8,20,33,48,88,51,50,85,64,Recreational,1
201,17.237212,78.211746,60,407,468,21,23,67,45,55,70,66,44,34,Mixed,2
202,17.503833,78.595226,16,453,175,18,19,22,38,99,77,89,45,28,Recreational,1
203,17.484806,78.530391,34,207,207,18,50,11,82,51,67,69,65,57,Residential,3
204,17.495228,78.522478,90,762,579,31,28,98,24,6,50,62,87,31,Commercial,0
205,17.266853,78.462113,62,82,711,22,40,21,11,7,79,67,86,48,Industrial,4
206,17.363323,78.503699,77,846,742,32,23,94,15,19,60,74,96,62,Commercial,0
207,17.424176,78.244396,26,338,186,7,27,34,47,98,72,45,98,36,Recreational,1
208,17.312015,78.543337,35,489,84,7,28,39,46,87,63,53,65,47,Recreational,1
209,17.451295,78.41307,73,100,886,19,43,28,29,17,46,53,48,68,Industrial,4
210,17.320506,78.439343,74,63,619,15,28,27,26,18,48,72,95,61,Industrial,4
211,17.336162,78.595611,68,108,833,23,33,23,13,16,47,41,80,55,Industrial,4
212,17.28809,78.39535,69,407,467,22,30,53,57,50,60,44,87,29,Mixed,2
213,17.326779,78.373838,68,450,234,36,21,63,40,37,84,62,86,49,Mixed,2
214,17.470571,78.252677,88,625,707,58,27,100,28,10,59,68,90,13,Commercial,0
215,17.556592,78.201168,26,366,135,16,16,21,38,80,47,62,77,15,Recreational,1
216,17.278439,78.444312,51,511,417,27,38,67,49,30,68,84,88,44,Mixed,2
217,17.313963,78.385141,59,426,340,25,36,53,56,59,47,82,59,69,Mixed,2
218,17.527283,78.41264,56,441,305,30,41,69,48,38,63,76,88,50,Mixed,2
219,17.35783,78.368731,66,104,540,16,37,30,23,7,50,52,85,54,Industrial,4
220,17.454561,78.220454,22,408,61,17,30,20,42,86,67,44,47,34,Recreational,1
221,17.347621,78.24841,54,464,376,34,39,57,57,31,43,69,72,45,Mixed,2
222,17.45858,78.555216,22,383,162,5,26,38,44,88,78,41,68,50,Recreational,1
223,17.560981,78.226578,49,459,250,28,44,46,67,32,59,45,66,62,Mixed,2
224,17.286421,78.386643,36,268,111,12,40,10,92,54,65,76,60,58,Residential,3
225,17.515594,78.378568,75,883,676,51,30,97,13,7,84,48,92,47,Commercial,0
226,17.410325,78.404673,22,294,178,18,52,17,90,55,71,75,99,42,Residential,3
227,17.454761,78.336242,19,306,105,5,15,34,49,98,68,49,99,27,Recreational,1
228,17.242104,78.266944,89,60,804,10,30,24,17,6,87,51,77,10,Industrial,4
229,17.355195,78.26401,24,257,219,12,40,22,83,65,66,85,93,52,Residential,3
230,17.389603,78.377651,25,158,224,24,50,19,84,65,76,81,99,46,Residential,3
231,17.592044,78.391151,47,300,212,22,44,29,96,52,71,87,61,13,Residential,3
232,17.423084,78.338911,41,291,308,38,36,60,53,60,83,60,83,20,Mixed,2
233,17.517009,78.384578,17,410,147,15,18,38,46,82,57,79,61,66,Recreational,1
234,17.413355,78.547988,47,533,204,36,24,43,61,48,66,73,50,63,Mixed,2
235,17.405161,78.237469,61,254,383,39,28,53,65,41,45,56,90,28,Mixed,2
236,17.592296,78.363034,20,482,151,15,15,34,40,98,89,56,90,62,Recreational,1
237,17.319374,78.296153,74,53,890,22,27,35,18,12,84,56,56,58,Industrial,4
238,17.548819,78.41089,86,118,512,24,38,35,27,20,61,68,61,52,Industrial,4
239,17.28026,78.597859,55,453,393,28,43,42,63,59,69,86,74,28,Mixed,2
240,17.463416,78.506446,60,85,524,14,25,34,14,17,79,47,44,69,Industrial,4
241,17.322455,78.419652,17,493,153,11,23,21,43,93,43,69,70,47,Recreational,1
242,17.517806,78.482835,27,472,83,17,33,25,45,81,79,56,94,43,Recreational,1
243,17.562444,78.328598,16,312,160,19,16,26,32,87,62,53,95,64,Recreational,1
244,17.487917,78.546773,46,482,357,32,40,58,60,48,64,61,70,26,Mixed,2
245,17.521583,78.421,29,299,153,29,49,27,93,57,67,85,91,62,Residential,3
246,17.360979,78.241099,27,358,57,6,26,33,31,97,73,50,80,21,Recreational,1
247,17.496362,78.326508,95,948,553,47,25,96,27,12,80,45,44,53,Commercial,0
248,17.373527,78.563977,84,114,606,12,33,21,21,8,75,57,54,60,Industrial,4
249,17.311376,78.25184,33,485,109,15,24,34,50,100,82,52,76,42,Recreational,1
250,17.399428,78.354048,29,580,143,13,34,38,48,91,76,81,56,46,Recreational,1
251,17.420828,78.366319,72,902,545,43,22,91,18,16,46,80,52,27,Commercial,0
252,17.357894,78.572323,35,236,172,15,40,10,83,52,62,84,84,43,Residential,3
253,17.217203,78.466747,32,302,77,10,26,31,50,87,40,75,60,69,Recreational,1
254,17.334938,78.207731,91,653,537,50,31,94,30,14,85,52,76,47,Commercial,0
255,17.5854,78.407613,28,437,180,19,20,36,41,99,63,68,82,34,Recreational,1
256,17.230554,78.353032,89,718,555,45,34,96,17,16,51,66,93,62,Commercial,0
257,17.465203,78.419353,71,733,790,50,20,86,29,13,51,55,55,52,Commercial,0
258,17.574951,78.441317,29,459,124,12,15,27,42,83,79,42,68,50,Recreational,1
259,17.585107,78.230242,54,373,417,23,27,48,62,34,71,59,89,20,Mixed,2
260,17.52445,78.454382,86,658,489,41,26,89,19,15,84,58,50,22,Commercial,0
261,17.398925,78.2921,25,348,101,10,29,28,43,97,65,88,89,14,Recreational,1
262,17.272123,78.383439,87,825,414,58,33,84,15,10,61,57,53,19,Commercial,0
263,17.517257,78.541514,89,55,592,17,36,32,20,16,72,56,87,20,Industrial,4
264,17.270438,78.285583,26,369,65,8,17,35,41,90,76,64,57,28,Recreational,1
265,17.502924,78.264669,45,233,103,21,48,11,96,50,82,55,41,43,Residential,3
266,17.204841,78.203615,29,393,114,15,21,36,49,97,61,68,61,53,Recreational,1
267,17.52331,78.301528,67,405,454,30,40,63,49,57,79,41,94,17,Mixed,2
268,17.217965,78.504403,84,142,863,22,37,29,13,13,66,73,90,10,Industrial,4
269,17.596977,78.354529,72,716,493,32,22,96,16,15,65,53,56,27,Commercial,0
270,17.291478,78.582528,66,331,313,20,32,59,59,52,49,50,80,50,Mixed,2
271,17.257526,78.372041,43,268,167,14,40,28,100,42,51,65,90,28,Residential,3
272,17.274454,78.332626,27,232,248,23,33,19,99,54,89,84,68,17,Residential,3
273,17.529915,78.406264,28,570,178,7,29,27,33,81,68,63,63,51,Recreational,1
274,17.589231,78.29045,92,780,647,49,32,84,30,18,80,45,76,66,Commercial,0
275,17.496759,78.53937,68,461,202,38,41,54,43,57,51,77,90,45,Mixed,2
276,17.501699,78.357278,37,129,200,25,48,23,95,66,86,75,78,25,Residential,3
277,17.216969,78.30613,47,490,471,29,29,66,41,60,48,56,50,41,Mixed,2
278,17.379525,78.26361,30,410,172,9,19,25,46,80,64,75,56,50,Recreational,1
279,17.466058,78.262931,65,50,877,16,41,21,18,17,48,52,45,15,Industrial,4
280,17.514482,78.493778,100,648,475,45,34,92,10,5,42,65,54,45,Commercial,0
281,17.293989,78.481948,36,182,142,29,32,17,93,65,72,53,73,64,Residential,3
282,17.580987,78.290691,65,146,667,12,25,24,25,10,79,52,87,44,Industrial,4
283,17.325145,78.574119,69,138,647,24,28,31,11,12,61,76,47,16,Industrial,4
284,17.573998,78.372216,35,182,171,10,46,21,100,50,44,66,51,26,Residential,3
285,17.222634,78.349568,28,368,167,12,15,37,45,88,58,61,44,68,Recreational,1
286,17.310528,78.372808,15,440,133,10,21,34,43,98,68,59,68,33,Recreational,1
287,17.275926,78.432873,77,817,461,58,29,96,11,10,44,67,80,14,Commercial,0
288,17.419843,78.475912,96,776,603,36,22,89,11,13,74,55,41,69,Commercial,0
289,17.236838,78.421352,30,282,138,24,35,29,88,61,59,83,58,29,Residential,3
290,17.200807,78.269633,41,383,406,29,28,40,55,35,80,75,98,69,Mixed,2
291,17.472045,78.363261,85,138,765,14,39,38,25,9,61,75,73,39,Industrial,4
292,17.4469,78.495763,82,667,406,46,28,83,28,5,49,75,48,54,Commercial,0
293,17.303485,78.373761,79,969,682,51,37,82,29,15,60,64,67,56,Commercial,0
294,17.279708,78.550988,96,847,747,46,30,88,19,6,59,84,79,48,Commercial,0
295,17.438838,78.437921,29,362,159,9,25,35,31,87,50,89,42,67,Recreational,1
296,17.495167,78.40858,37,137,226,28,33,22,93,42,49,77,40,64,Residential,3
297,17.466585,78.514955,73,130,572,22,30,30,16,5,67,72,93,46,Industrial,4
298,17.367756,78.400032,41,307,322,25,27,43,57,57,82,76,54,37,Mixed,2
299,17.363868,78.462069,85,106,704,13,31,30,13,16,54,40,94,12,Industrial,4
300,17.52565,78.474054,75,637,740,45,24,96,19,16,60,89,46,12,Commercial,0
301,17.286424,78.52373,63,118,628,13,36,29,30,17,63,64,84,64,Industrial,4
302,17.531549,78.339556,43,359,376,29,26,55,40,46,60,48,45,60,Mixed,2
303,17.469458,78.271701,91,860,486,46,31,95,12,18,61,48,68,56,Commercial,0
304,17.318715,78.416548,29,411,200,17,31,27,50,81,76,45,83,27,Recreational,1
305,17.298141,78.223093,99,834,521,39,34,98,13,6,48,81,67,20,Commercial,0
306,17.478572,78.480858,81,64,881,21,32,30,18,19,72,72,58,12,Industrial,4
307,17.246882,78.334883,98,953,540,51,20,81,25,19,52,87,88,62,Commercial,0
308,17.20725,78.517103,36,170,112,14,46,12,86,65,88,78,92,10,Residential,3
309,17.53733,78.394038,96,852,786,44,30,95,18,12,40,68,96,31,Commercial,0
310,17.23028,78.35513,81,120,705,22,43,38,11,13,84,54,42,20,Industrial,4
311,17.418234,78.592683,38,227,147,11,37,15,91,54,79,75,54,37,Residential,3
312,17.482654,78.349792,21,176,144,24,49,19,82,58,42,53,79,68,Residential,3
313,17.509124,78.419368,34,421,156,15,25,21,46,88,67,70,99,43,Recreational,1
314,17.25613,78.468463,73,735,600,55,24,95,22,18,78,71,97,61,Commercial,0
315,17.431523,78.452957,21,391,58,19,20,36,45,82,60,65,75,51,Recreational,1
316,17.36994,78.563135,31,269,112,20,51,25,87,47,79,84,98,11,Residential,3
317,17.372435,78.419737,25,506,129,5,16,37,41,98,65,62,57,41,Recreational,1
318,17.529507,78.225256,84,794,565,32,20,92,30,14,85,52,66,45,Commercial,0
319,17.286892,78.385596,54,456,478,25,43,59,65,34,59,51,72,37,Mixed,2
320,17.559168,78.555247,60,345,362,34,24,67,63,43,89,87,45,34,Mixed,2
321,17.599557,78.330656,46,353,276,25,37,41,47,40,72,77,87,36,Mixed,2
